Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2019,07,08,20.5,1,N
IDCJAC0010,009225,2019,07,09,18.3,1,N
IDCJAC0010,009225,2019,07,10,18.1,1,N
IDCJAC0010,009225,2019,07,11,18.6,1,N
IDCJAC0010,009225,2019,07,12,18.7,1,N
IDCJAC0010,009225,2019,07,13,19.1,1,N
IDCJAC0010,009225,2019,07,14,19.3,1,N
IDCJAC0010,009225,2019,07,15,19.8,1,N
IDCJAC0010,009225,2019,07,16,21.9,1,N
IDCJAC0010,009225,2019,07,17,22.4,1,N
IDCJAC0010,009225,2019,07,18,20.7,1,N
IDCJAC0010,009225,2019,07,19,19.4,1,N
IDCJAC0010,009225,2019,07,20,17.7,1,N
IDCJAC0010,009225,2019,07,21,19.2,1,N
IDCJAC0010,009225,2019,07,22,17.4,1,N
IDCJAC0010,009225,2019,07,23,19.0,1,N
IDCJAC0010,009225,2019,07,24,20.8,1,N
IDCJAC0010,009225,2019,07,25,17.0,1,N
IDCJAC0010,009225,2019,07,26,15.9,1,N
IDCJAC0010,009225,2019,07,27,20.3,1,N
IDCJAC0010,009225,2019,07,28,19.0,1,N
IDCJAC0010,009225,2019,07,29,17.3,1,N
IDCJAC0010,009225,2019,07,30,23.2,1,N
IDCJAC0010,009225,2019,07,31,22.9,1,N
IDCJAC0010,009225,2019,08,01,20.8,1,N
IDCJAC0010,009225,2019,08,02,24.9,1,N
IDCJAC0010,009225,2019,08,03,22.3,1,N
IDCJAC0010,009225,2019,08,04,19.6,1,N
IDCJAC0010,009225,2019,08,05,18.0,1,N
IDCJAC0010,009225,2019,08,06,16.4,1,N
IDCJAC0010,009225,2019,08,07,16.5,1,N
IDCJAC0010,009225,2019,08,08,15.8,1,N
IDCJAC0010,009225,2019,08,09,18.0,1,N
IDCJAC0010,009225,2019,08,10,19.0,1,N
IDCJAC0010,009225,2019,08,11,22.5,1,N
IDCJAC0010,009225,2019,08,12,24.7,1,N
